condition,ratio,run,regressive,blastemal,dead,regressive_to_blastemal,blastemal_to_regressive,percentage_blast,%_dead
dox,99/1,ratio_1_run_1_dox,111,4,5,27.75,0.036036036,3.603603604,4.347826087
dox,99/1,ratio_1_run_2_dox,107,4,6,26.75,0.037383178,3.738317757,5.405405405
dox,99/1,ratio_1_run_3_dox,104,0,4,NaN,0,0,3.846153846
dox,99/1,ratio_1_run_4_dox,88,1,1,88,0.011363636,1.136363636,1.123595506
dox,99/1,ratio_1_run_5_dox,116,1,1,116,0.00862069,0.862068966,0.854700855
dox,97/3,ratio_2_run_1_dox,100,7,3,14.2857,0.07,7,2.803738318
dox,97/3,ratio_2_run_2_dox,97,11,0,8.8182,0.113402062,11.34020619,0
dox,97/3,ratio_2_run_3_dox,103,7,1,14.7143,0.067961165,6.796116505,0.909090909
dox,97/3,ratio_2_run_4_dox,104,5,4,20.8,0.048076923,4.807692308,3.669724771
dox,97/3,ratio_2_run_5_dox,107,12,5,8.9167,0.112149533,11.21495327,4.201680672
dox,95/5,ratio_3_run_1_dox,94,22,4,4.2727,0.234042553,23.40425532,3.448275862
dox,95/5,ratio_3_run_2_dox,96,10,4,9.6,0.104166667,10.41666667,3.773584906
dox,95/5,ratio_3_run_3_dox,101,10,2,10.1,0.099009901,9.900990099,1.801801802
dox,95/5,ratio_3_run_4_dox,104,4,2,26,0.038461538,3.846153846,1.851851852
dox,95/5,ratio_3_run_5_dox,95,11,6,8.6364,0.115789474,11.57894737,5.660377358
dox,93/7,ratio_4_run_1_dox,108,7,4,15.4286,0.064814815,6.481481481,3.47826087
dox,93/7,ratio_4_run_2_dox,100,16,1,6.25,0.16,16,0.862068966
dox,93/7,ratio_4_run_3_dox,104,14,9,7.4286,0.134615385,13.46153846,7.627118644
dox,93/7,ratio_4_run_4_dox,94,16,5,5.875,0.170212766,17.0212766,4.545454545
dox,93/7,ratio_4_run_5_dox,109,18,5,6.0556,0.165137615,16.51376147,3.937007874
dox,90/10,ratio_5_run_1_dox,85,22,4,3.8636,0.258823529,25.88235294,3.738317757
dox,90/10,ratio_5_run_2_dox,83,31,4,2.6774,0.373493976,37.34939759,3.50877193
dox,90/10,ratio_5_run_3_dox,84,18,2,4.6667,0.214285714,21.42857143,1.960784314
dox,90/10,ratio_5_run_4_dox,107,29,5,3.6897,0.271028037,27.10280374,3.676470588
dox,90/10,ratio_5_run_5_dox,100,25,3,4,0.25,25,2.4
no_dox,99/1,ratio_1_run_1_no_dox,157,1,3,157,0.006369427,0.636942675,1.898734177
no_dox,99/1,ratio_1_run_2_no_dox,160,1,5,160,0.00625,0.625,3.105590062
no_dox,99/1,ratio_1_run_3_no_dox,157,1,2,157,0.006369427,0.636942675,1.265822785
no_dox,99/1,ratio_1_run_4_no_dox,144,2,2,72,0.013888889,1.388888889,1.369863014
no_dox,99/1,ratio_1_run_5_no_dox,139,9,7,15.4444,0.064748201,6.474820144,4.72972973
no_dox,97/3,ratio_2_run_1_no_dox,138,15,2,9.2,0.108695652,10.86956522,1.307189542
no_dox,97/3,ratio_2_run_2_no_dox,160,16,4,10,0.1,10,2.272727273
no_dox,97/3,ratio_2_run_3_no_dox,154,10,4,15.4,0.064935065,6.493506494,2.43902439
no_dox,97/3,ratio_2_run_4_no_dox,154,13,6,11.8462,0.084415584,8.441558442,3.592814371
no_dox,97/3,ratio_2_run_5_no_dox,142,8,3,17.75,0.056338028,5.633802817,2
no_dox,95/5,ratio_3_run_1_no_dox,127,13,1,9.7692,0.102362205,10.23622047,0.714285714
no_dox,95/5,ratio_3_run_2_no_dox,135,17,3,7.9412,0.125925926,12.59259259,1.973684211
no_dox,95/5,ratio_3_run_3_no_dox,158,22,6,7.1818,0.139240506,13.92405063,3.333333333
no_dox,95/5,ratio_3_run_4_no_dox,122,16,5,7.625,0.131147541,13.1147541,3.623188406
no_dox,95/5,ratio_3_run_5_no_dox,140,15,1,9.3333,0.107142857,10.71428571,0.64516129
no_dox,93/7,ratio_4_run_1_no_dox,133,30,3,4.4333,0.22556391,22.55639098,1.840490798
no_dox,93/7,ratio_4_run_2_no_dox,157,26,5,6.0385,0.165605096,16.56050955,2.732240437
no_dox,93/7,ratio_4_run_3_no_dox,132,34,2,3.8824,0.257575758,25.75757576,1.204819277
no_dox,93/7,ratio_4_run_4_no_dox,127,9,2,14.1111,0.070866142,7.086614173,1.470588235
no_dox,93/7,ratio_4_run_5_no_dox,147,15,3,9.8,0.102040816,10.20408163,1.851851852
no_dox,90/10,ratio_5_run_1_no_dox,121,55,6,2.2,0.454545455,45.45454545,3.409090909
no_dox,90/10,ratio_5_run_2_no_dox,125,41,6,3.0488,0.328,32.8,3.614457831
no_dox,90/10,ratio_5_run_3_no_dox,131,42,3,3.119,0.320610687,32.0610687,1.734104046
no_dox,90/10,ratio_5_run_4_no_dox,118,37,6,3.1892,0.313559322,31.3559322,3.870967742
no_dox,90/10,ratio_5_run_5_no_dox,118,35,3,3.3714,0.296610169,29.66101695,1.960784314
